Japanese,Vietnamese,English
時間,thời gian,time
年,Năm,Year
事,trường hợp,case
道,cách,the way
日,Ngày,Day
男,Người đàn ông,Man
状態,tình huống,situation
たくさん,nhiều ,a lot
女,đàn bà,woman
国,Quốc gia,Country
生活,mạng sống,life
質問,câu hỏi,question
社長,chủ tịch,president
子供,đứa trẻ,child
1週間,1 tuần,1 week
世界,thế giới,world
種類,loại,kinds
ケース,Trường hợp,Case
問題,vấn đề,problem
事実,sự thật,fact
家族,gia đình,family
ストーリー,câu chuyện,story
ポイント,điểm,point
政府,chính phủ,government
お金,tiền bạc,money
問題,vấn đề,problem
一部,phần,part
朝,buổi sáng,morning
男,Người đàn ông,Man
数,con số,number
仕事,công việc,work
夜,đêm,night
右,Phải,right
学校,trường học,school
場所,địa điểm,place
戦争,chiến tranh,war
キッド,Đứa trẻ,Kid
月,Tháng,Month
ブック,sách,book
1時間,Một giờ,One hour
ショー,trình diễn,show
警察,cảnh sát,police
プログラム,chương trình,program
パーティー,buổi tiệc,party
法律,pháp luật,law
単語,từ,word
人,Người đàn ông,Man
ホーム,trang chủ,home
ビジネス,việc kinh doanh,business
友人,bạn,friend
会社,công ty,company
サイド,bên,side
税,Thuế,Tax
民主党,Đảng Dân chủ,Democratic Party
グループ,nhóm,group
瞬間,chốc lát,moment
ブレーク,phá vỡ,break
アイデア,ý tưởng,idea
メンバー,thành viên,member
システム,hệ thống,system
分,Phần,Part
理由,lý do,reason
キャンペーン,chiến dịch,campaign
仕事,công việc,work
国家,Quốc gia,Nation
議会,Nghị viện,Parliament
母親,mẹ,mother
力,Quyền lực,Power
健康,sức khỏe,health
バック,mặt sau,back
エリア,khu vực,area
名前,tên,name
レポート,Báo cáo,Report
手,tay,hand
ライン,đường kẻ,line
終わり,kết thúc,end
裁判所,tòa án,court
介護,Điều dưỡng,nursing
カップル,Cặp đôi,Couple
家,Căn nhà,House
アメリカン,Người Mỹ,American
父,bố,father
状況,tình huống,situation
車,xe hơi,car
親,cha mẹ,parent
管理,sự quản lý,management
薬,thuốc,medicine
街,Thị trấn,Town
感覚,cảm xúc,feelings
ポリシー,chính sách,policy
オフィス,văn phòng,office
決定,Phán quyết,Decision
パワー,quyền lực,power
計画,kế hoạch,plan
リーダー,lãnh đạo,leader
情報,thông tin,information
選挙,lựa chọn,selection
映画,bộ phim,movie
死,cái chết,death
空気,không khí,air
コー​​ル,Điệp khúc,Chorus
コミュニティ,cộng đồng,community
外観,bên ngoài,exterior
証拠,chứng cớ,evidence
女の子,con gái,girl
医者,bác sĩ,doctor
投票,bỏ phiếu,vote
ビデオ,băng hình,video
絵,hình ảnh,picture
部屋,phòng,room
ビット,chút,bit
経済,thuộc kinh tế,economic
電話,điện thoại,phone
歴史,lịch sử,history
ソート,loại,sort
少年,con trai,boy
犯罪,tội phạm,crime
プロセス,quá trình,process
妻,vợ,wife
音楽,âm nhạc,music
水,Nước,water
サービス,dịch vụ,service
記録,ghi ,record
セキュリティ,Bảo vệ,Security
トーク,Nói chuyện,Talk
心,trái tim,heart
頭,Cái đầu,Head
候補者,ứng viên,candidate
公式,chính thức,official
カメラ,Máy ảnh,camera
学生,học sinh,student
攻撃,tấn công,attack
チャンス,cơ hội,chance
ゲーム,trò chơi,game
赤ちゃん,Đứa bé,baby
南,Phía nam,South
変更,thay đổi,change
トライアル,sự thử nghiệm,trial
ボディ,thân hình,body
市場,chợ,market
スタッフ,nhân viên,staff
関心,quan tâm,interest
武器,vũ khí,weapon
心,trái tim,heart
息子,Con trai,son
チーム,đội,team
町,thị trấn,town
テレビ,TV,tv set
意志,sẽ,will
軍隊,quân đội,army
裁判官,phán xét,judge
アクション,hoạt động,action
答え,trả lời,answer
ポジション,chức vụ,position
ビュー,Xem,View
違い,sự khác biệt,difference
食べ物,đồ ăn,food
娘,con gái,daughter
レース,loài ,race
取引,giao dịch,transaction
ストリート,Đường phố,Street
価格,giá ,price
メッセージ,tin nhắn,message
コントロール,Điều khiển,Control
ディベート,tranh luận,debate
役員,thành viên Hội đồng quản trị,board member
フィルム,bộ phim,the film
レベル,mức độ,level
努力,cố gắng,effort
関係,mối quan hệ,relationship
特派員,Phóng viên,Correspondent
地面,Đất,Ground
作品,công việc,the work
夫,chồng,husband
予算,ngân sách,budget
陪審,bồi thẩm đoàn,jury
レポーター,Phóng viên,Reporter
週末,ngày cuối tuần,weekend
問題,vấn đề,problem
年齢,tuổi,age
銃,Súng,gun
平和,hòa bình,peace
殺人,giết người,murder
役割,vai trò,role
調査,cuộc điều tra,investigation
経験,kinh nghiệm,experience
病院,bệnh viện,hospital
目,mắt ,eye
ディレクター,giám đốc,director
未来,tương lai,future
顔,khuôn mặt,face
オイル,dầu,oil
結果,kết quả,result
公共,công cộng,public
弁護士,luật sư,lawyer
世論調査,Thăm dò ý kiến,poll
第2,Số 2,No. 2
チャンス,cơ hội,chance
産業,ngành công nghiệp,industry
兄,anh trai,older brother
声明,tuyên bố,statement
火災,ngọn lửa,fire
愛,Yêu,Love
レート,tỷ lệ,rate
効果,tác dụng,effect
歌,bài hát,song
イベント,sự kiện,event
担当,người có trách nhiệm,responsible person
サポート,ủng hộ,support
ラジオ,Đài,radio
建物,xây dựng,building
銀行,Ngân hàng,Bank
犠牲者,Nạn nhân,Victim
ドア,cửa,door
インタビュー,phỏng vấn,interview
シーン,bối cảnh,scene
残り,còn lại,remaining
プレス,nhấn,press
注目,chú ý,attention
選択肢,Sự lựa chọn,Choice
スピーチ,lời nói,speech
患者,kiên nhẫn,patient
真実,sự thật,truth
道路,đường,road
言葉,từ,words
サイト,địa điểm,site
労働者,Công nhân,Worker
教授,Giáo sư,Professor
手紙,thư,letter
改革,cải cách,reform
懸念,bận tâm,concern
フォーク,cái nĩa,fork
セックス,Tình dục,Sex
調査,cuộc điều tra,investigation
大学,Trường đại học,University
有権者,Cử tri,Voter
壁,tường,wall
夜,đêm,night
ミーティング,cuộc họp,meeting
声,tiếng nói,voice
聴衆,khán giả,audience
暴力,bạo lực,violence
ルール,luật lệ,rule
スター,Ngôi sao,Star
テスト,Bài kiểm tra,test
教育,giáo dục,education
トラブル,rắc rối,trouble
リスク,rủi ro,risk
刑務所,nhà tù,prison
ゲスト,Những vị khách mời,The guests
クラス,lớp học,class
社会,xã hội,society
兵士,lính,soldier
プレーン,máy bay,plane
量,số lượng,amount
助けて,giúp đỡ,help
コスト,trị giá,cost
権威,thẩm quyền,authority
足,chân,legs
期間,Giai đoạn,period
気持ち,cảm giác,feeling
ステップ,Bước chân,Step
原因,Gây ra,Cause
テープ,Băng,tape
脅威,mối đe dọa,threat
意見,ý kiến,opinion
組織,Tổ chức,Organization
タイプ,kiểu,type
会話,cuộc hội thoại,conversation
病気,bệnh,disease
操作,hoạt động,operation
癌,bệnh ung thư,cancer
雑誌,tạp chí,magazine
知事,Thống đốc,Governor
圧力,áp lực ,pressure
大多数,Số đông,Majority
調査,cuộc điều tra,investigation
キャラクター,tính cách,character
駅,ga tàu,station
危機,khủng hoảng,crisis
専門家,Chuyên gia,Expert
血,máu,blood
会長,Chủ tịch,chairman
引数,lý lẽ,argument
リスト,danh sách,list
犬,chó,dog
コンピュータ,Máy tính,Computer
初め,bắt đầu,beginning
保険,bảo hiểm,insurance
フィールド,cánh đồng,field
姉妹,Chị em gái,Sisters
間違い,lỗi,error
プレイヤー,người chơi,player
エネルギー,năng lượng,energy
紙,giấy,paper
スペース,không gian,space
店舗,Cửa hàng,Store
合意,hiệp định,agreement
責任,trách nhiệm,responsibility
女性,đàn bà,woman
オーダー,đặt hàng,order
夏,mùa hè,summer
製品,sản phẩm,product
値,giá trị,value
株式,Cổ phần,stock
インテリジェンス,Sự thông minh,Intelligence
教師,giáo viên,teacher
代理店,hãng,agency
トレード,buôn bán,trade
会議,cuộc họp,meeting
セル,tế bào,cell
教会,Nhà thờ,Church
コメント,bình luận,comment
ソース,nước xốt,sauce
過去,quá khứ,past
カット,cắt,cut
思考,Suy nghĩ,Thinking
クレジット,tín dụng,credit
希望,Mong,Hope
記号,biểu tượng,symbol
キャリア,Sự nghiệp,Career
結婚,kết hôn,marriage
条件,điều kiện,conditions
証人,nhân chứng,witness
テクノロジー,công nghệ,technology
ステージ,sân khấu,stage
スタッフ,nhân viên,staff
アーム,cánh tay,arm
ミッション,Nhiệm vụ,Mission
アート,nghệ thuật,art
俳優,diễn viên,actor
戦い,Trận đánh,Fight
トップ,Đứng đầu,Top
市民,Công dân,Citizen
著者,tác giả,author
反応,sự phản ứng lại,reaction
紳士,Quý ông,Gentleman
リーダーシップ,Khả năng lãnh đạo,leadership
恐怖,Nỗi sợ,Fear
例,ví dụ,example
言語,ngôn ngữ,language
必要性,sự cần thiết,necessity
正義,Sự công bằng,justice
議論,Cuộc thảo luận,Discussion
ボーダー,ranh giới,border
動物,động vật,animal
詳細,chi tiết,detail
応答,phản ứng,response
ネットワーク,mạng,network
ムーブメント,Sự chuyển động,Movement
使用,sử dụng,use
男性,nam giới,male
首都,thủ đô,capital
公聴会,Phiên điều trần công khai,Public hearing
標準,tiêu chuẩn,standard
利益,Lợi nhuận,Profit
テーブル,bàn,table
治療,Sự đối đãi,Treatment
エージェント,Đại lý,Agent
カード,Thẻ,card
ショット,bắn,shot
ボード,Cái bảng,board
現実,thực tế,reality
先生,giáo viên,teacher
土地,đất,land
プロジェクト,dự án,project
光,ánh sáng,light
画像,hình ảnh,image
世紀,thế kỷ,century
ページ,trang,page
成功,thành công,success
音,âm thanh,sound
インパクト,Sự va chạm,Impact
痛み,nỗi đau,pain
シーズン,Mùa,Season
個々,cá nhân,individual
スポーツ,Các môn thể thao,Sports
スタジオ,phòng thu,studio
10年,10 năm,10 years
挑戦,thử thách,challenge
夢,Những giấc mơ,dreams
新聞,báo,newspaper
フロア,sàn nhà,floor
戦い,Trận đánh,Fight
安全性,sự an toàn,safety
行為,hoạt động,action
旅,Hành trình,Journey
もちろん,tất nhiên rồi,of course
可能性,khả năng,possibility
自由,tự do,freedom
ファンド,quỹ,fund
座席,ghế,seat
爆弾,bom,bomb
フォーム,Hình thức,Form
エグゼクティブ,Điều hành,Executive
大臣,"bộ trưởng, mục sư",Minister
赤字,thiếu hụt hoặc khuyết,deficit
開発,phát triển,development
フライト,Chuyến bay,Flight
秘書,Thư ký,Secretary
委員会,Ủy ban,Committee
消費者,người tiêu dùng,consumer
岩,đá,rock
フィギュア,Nhân vật,Figure
件名,chủ thể,subject
文化,văn hoá,culture
髪,tóc,hair
報道,Báo cáo,Report
損失,sự mất mát,loss
お父さん,bố,father
注意,Ghi chú,Note
アクティビティ,hoạt động ,activity
ゴール,mục tiêu,goal
オプション,lựa chọn,option
ガス,khí ga,gas
地域,vùng đất,region
人口,dân số,population
能力,khả năng,ability
解像度,nghị quyết,resolution
従業員,người lao động,employee
脳,não,brain
政治家,Chính trị gia,politician
ミドル,Ở giữa,Middle
嵐,bão,storm
世代,thế hệ,generation
評論家,nhà phê bình,critic
ファン,cái quạt,fan
科学者,nhà khoa học,the scientist
ターゲット,mục tiêu,target
キャンプ,trại,camp
午後,buổi chiều,afternoon
方向,phương hướng,direction
科学,Khoa học,Science
ジャーナリスト,nhà báo,journalist
学位,bằng cấp,degree
不倫,Công việc,Affair
被害,hư hại,damage
戦略,chiến lược,strategy
要因,gây ra,cause
プラント,thực vật,plant
民主主義,Nền dân chủ,Democracy
疑い,Sự nghi ngờ,Suspicion
ソリューション,giải pháp,solution
支出,Chi tiêu,Spending
トレーニング,đào tạo,training
虐待,Lạm dụng,Abuse
危険,nguy hiểm,dangerous
環境,môi trường,environment
メモリ,ký ức,memory
自然,Thiên nhiên,Nature
材料,vật liệu,material
ドキュメント,tài liệu,document
収入,thu nhập,income
アナリスト,Nhà phân tích,Analyst
遊び,chơi,play
ガード,bảo vệ,guard
ホテル,Khách sạn,Hotel
エディタ,Biên tập viên,editor
ミサイル,hỏa tiễn,missile
事故,tai nạn,accident
目的,mục đích,the purpose
ライター,nhà văn,Writer
緊急,khẩn cấp,emergency
成長,sự phát triển,growth
ベッド,giường,bed
福祉,phúc lợi,welfare
アダルト,Người lớn,Adult
信仰,sự tin tưởng,faith
提案,gợi ý,suggestion
モデル,người mẫu,model
軍,quân đội,army
事件,Trường hợp,Case
ボックス,hộp,box
群衆,đám đông,crowd
尊敬,sự tôn trọng,respect
部門,Phòng,Department
アクセス,truy cập,access
日付,ngày,date
チーフ,Trưởng phòng,chief
天気,thời tiết,weather
空港,sân bay,airport
マシン,Máy móc,Machine
窓,cửa sổ,window
議題,chương trình nghị sự,agenda
アドバイス,khuyên bảo,advice
起訴,Truy tố,Prosecution
紛争,Tranh luận,Dispute
秋,mùa thu,autumn
パイロット,phi công,pilot
練習,đào tạo,training
トラック,xe tải,truck
所有者,người sở hữu,owner
増加する,Tăng,To increase
立法,pháp luật,legislation
ツリー,cây,tree
借金,món nợ,debt
敵,kẻ thù,enemy
トラック,xe tải,truck
リード,Chỉ huy,Lead
大会,Hội nghị,Conference
援助,hỗ trợ,assistance
自殺,tự tử,suicide
品質,chất lượng,quality
保守的,thận trọng,conservative
サイズ,kích cỡ,size
アカウント,tài khoản,account
喜び,vui sướng,joy
施設,tổ chức,institution
航空会社,Hàng không,Airlines
重量,cân nặng,weight
アプローチ,tiếp cận,approach
手術,Ca phẫu thuật,Surgery
休日,ngày lễ,holiday
スタート,bắt đầu,start
勝利,chiến thắng,victory
地区,huyện,district
関係,mối quan hệ,relationship
検索,tìm kiếm,search
乗組員,Phi hành đoàn,Crew
パネル,Bảng điều khiển,panel
連合,Liên minh,Coalition
移動,Di cư,Migration
パッケージ,bưu kiện,package
チェック,kiểm tra,check
少数派,thiểu số,minority
ユニット,đơn vị,unit
バッグ,cái túi,bag
驚き,sự ngạc nhiên,surprise
焦点,tập trung,focus
状況,tình huống,situation
プロデューサー,nhà sản xuất,producer
投資,sự đầu tư,investment
ボール,quả bóng,ball
同僚,đồng nghiệp,colleague
リソース,nguồn,resource
判決,Sự phán xét,Judgment
背景,lý lịch,background
組合,liên hiệp,Union
アドレス,Địa chỉ,address
ドライバ,tài xế,driver
ヒーロー,Anh hùng,Hero
医学,Thuốc,Medicine
代表,tiêu biểu,representative
車両,phương tiện giao thông,vehicle
司令官,Chỉ huy,Commander
アーティスト,Nghệ sĩ,Artist
市長,Thị trưởng,Mayor
実行,chấp hành,execution
船,tàu thủy,ship
理論,lý thuyết,theory
スクリーン,màn hình,screen
レッスン,bài học,lesson
居住者,Người dân,Resident
パートナー,cộng sự,partner
バー,quán ba,bar
チケット,vé,ticket
災​​害,Thảm họa,Disaster
パフォーマンス,hiệu suất,performance
サポーター,Người ủng hộ,Supporter
キラー,sát thủ,killer
交渉,đàm phán,negotiation
海,Đại dương,Ocean
風,Gió,Wind
靴,đôi giày,shoes
秘密,bí mật,secret
悲劇,Bi kịch,tragedy
贈り物,quà ,gift
ツアー,Tour du lịch,Tours
マネージャー,giám đốc,manager
バンド,ban nhạc,band
誕生,Sinh,birth
ホスト,chủ nhà,host
ローン,khoản vay,loan
申し立て,Khẳng định,Claim
勝者,người chiến thắng,winner
宗教,tôn giáo,religion
記事,bài báo,article
セッション,phiên họp,session
幸福,niềm hạnh phúc,happiness
範囲,phạm vi,range
契約,hợp đồng,contract
文,Câu,Sentence
対策,đo,measures
副,Hành vi xấu xa,Vice
自信,Sự tự tin,Confidence
地獄,địa ngục,hell
救済,Giải thoát,Rescue
視点,luật xa gần,perspective
利点,lợi thế,advantage
スキャンダル,vụ bê bối,scandal
足,chân,legs
レストラン,nhà hàng,restaurant
夕食,bữa tối,dinner
クライアント,khách hàng,client
失敗,Sự thất bại,Failure
四半期,một phần tư,quarter
要素,yếu tố,element
請求,Khẳng định,Claim
プロパティ,Tài sản,Property
バージョン,phiên bản,version
試み,Sự thử nghiệm,Trial
バス,xe buýt,bus
顧客,khách hàng,client
アピール,bắt mắt,appeal
ポンド,lb,lb
保護,sự bảo vệ,protection
遺伝子,gen,gene
石,cục đá,stone
反対,phản đối,oppose
アパート,Căn hộ,Apartment
フロント,đằng trước,front
女性,đàn bà,woman
囚人,Tù nhân,Prisoner
黒,đen,black
ギャング,băng nhóm,gang
原則,nguyên tắc,principle
同盟国,Đồng minh,Allies
顧問,Cố vấn,Advisor
訪問,thăm nom,visit
鳥,chim,bird
スタンド,đứng,stand
通信,giao tiếp,communication
ボート,thuyền,boat
接続,sự liên quan,connection
キー,Chìa khóa,Key
ストライキ,đánh đập,strike
ペナルティ,hình phạt,penalty
警告,Hãy cẩn thận,caveat
運,May mắn,luck
DNA,DNA,DNA
精神,tinh thần,spirit
ターン,xoay,turn
施設,tổ chức,institution
ティーンエイジャー,thiếu niên,teenager
コミットメント,sự cam kết,commitment
アイテム,mục ,item
手順,thủ tục,procedure
半分,một nửa,half
タンク,xe tăng,tank
電話,điện thoại,phone
サプライ,cung cấp,supply
態度,thái độ,attitude
ブロック,khối,block
債券,Liên kết,Bond
スタイル,phong cách,style
サッカー,bóng đá,soccer
燃料,nhiên liệu,fuel
データ,dữ liệu,data
ガラス,Thủy tinh,Glass
スーツ,bộ đồ,suit
強,sức mạnh,strength
批判,Sự chỉ trích,Criticism
アイス,đá,ice
機器,thiết bị,device
約束,hứa,promise
リターン,trở lại,return
アルバム,Album,album
生産,sản xuất,production
コー​​ナー,Lõi ngô,Cob
結果,kết quả,result
生活,mạng sống,life
けが,Chấn thương,Injury
カバー,che phủ,cover
スポット,điểm,spot
乳房,nhũ hoa,breast
春,mùa xuân,spring
論争,Tranh cãi,Controversy
破壊,sự phá hủy,destruction
側面,bên,side
クラブ,câu lạc bộ,club
航空機,phi cơ,aircraft
事務所,văn phòng,office
政権,sự quản lý,administration
競争,cuộc thi,competition
利益,Lợi nhuận,Profit
知識,kiến thức,knowledge
スポークスマン,Phát ngôn viên,Spokesman
レビュー,ôn tập,review
理解,Sự hiểu biết,Understanding
不況,suy thoái,recession
歌手,ca sĩ,singer
村,làng bản,village
逮捕,Bắt giữ,Arrest
雪,tuyết,snow
ジョーク,câu nói đùa,joke
金,Tiền bạc,Money
接触,liên hệ,contact
需要,yêu cầu,demand
タスク,nhiệm vụ,task
穴,hố,hole
一般的な,tổng quan,general
皮膚,Da,Skin
数,con số,number
対戦相手,Phản đối,Opponent
結論,Phần kết luận,Conclusion
優先,sự ưu tiên,priority
レイプ,hãm hiếp,rape
難民,những người tị nạn,refugees
山,Núi,Mountain
サミット,Hội nghị thượng đỉnh,Summit
ボトム,đáy,bottom
経営,sự quản lý,management
委員会,Ủy ban,Committee
レンジ,phạm vi,range
コー​​ド,COD,Cod
現金,tiền mặt,cash
口,miệng,mouth
存在感,sự hiện diện,presence
シェア,chia sẻ,share
ファッション,thời trang,fashion
形状,hình dạng,shape
椅子,Cái ghế,Chair
指,ngón tay,finger
魚,cá,fish
エディション,Phiên bản,Edition
エッジ,Bờ rìa,Edge
リミット,giới hạn,limit
列車,xe lửa,train
信念,sự tin tưởng,belief
バランス,THĂNG BẰNG,balance
交換,trao đổi,exchange
農場,nông trại,farm
ゾーン,vùng,zone
乗客,hành khách,passenger
うそ,nói dối,lie
義務,Nhiệm vụ,Duty
トラフィック,giao thông,traffic
馬,Ngựa,Horse
伝統,truyền thống,tradition
回復,sự hồi phục,recovery
検査官,Thanh tra,Inspector
難しさ,khó khăn,difficulty
ファイル,Tài liệu,File
誕生日,sinh nhật,birthday
金融,Tài chính,Finance
クラッシュ,tai nạn,crash
影響,Sự va chạm,Impact
レギュレーション,quy định,regulation
解析,Phân tích,analysis
闘争,Đấu tranh,Struggle
熱,nhiệt,heat
ドレス,đầm,dress
リリース,giải phóng,release
冬,mùa đông,winter
ウイルス,vi-rút,virus
テーマ,Chủ đề,theme
概念,ý tưởng,concept
デバイス,thiết bị,device
怒り,sự tức giận,anger
英語,Tiếng Anh,English
フラグ,lá cờ,flag
コンテキスト,bối cảnh,context
ウイング,cánh,wing
戦闘,trận đánh,fight
パターン,mẫu,pattern
エンターテインメント,Sự giải trí,Entertainment
外観,bên ngoài,exterior
節約,Tiết kiệm,Savings
投資家,Nhà đầu tư,Investor
橋,cầu,bridge
決済,giải quyết,settlement
雨,cơn mưa,rain
木材,gỗ,wood
