Japanese,Vietnamese,English
郵便,Bưu kiện,Post
農家,Nông dân,Farmer
ミステリー,Bí ẩn,Mystery
祈り,người cầu nguyện,prayer
ビジョン,tầm nhìn,vision
うつ病,trầm cảm,depression
爆発,Vụ nổ,explosion
被告,bị cáo,defendant
構造,kết cấu,structure
改正,Ôn tập,Revision
暴行,tấn công,assault
思考,Suy nghĩ,Thinking
治療,Sự đối đãi,Treatment
看護師,y tá,nurse
パス,con đường,path
資金調達,Tài chính,Financing
ツール,dụng cụ,tool
タイトル,tiêu đề,title
住宅,Nơi cư trú,Residence
ショップ,cửa hàng,shop
苦情,Lời phàn nàn,Complaint
波,sóng,wave
猫,Con mèo,Cat
マップ,bản đồ,map
雇用者,Nhà tuyển dụng,Employer
証拠,chứng cớ,evidence
感情,Cảm xúc,Emotion
スキル,kỹ năng,skill
信託,lòng tin,trust
トピック,đề tài,topic
性格,Nhân cách,Personality
ホール,hố,hole
キャビネット,tủ,cabinet
骨,Xương,Bone
魂,linh hồn,soul
チキン,thịt gà,chicken
場所,địa điểm,place
適応症,Thích ứng,Adaptation
スピーカー,loa,speaker
賃金,tiền công,wage
時代,Kỷ nguyên,Era
リクエスト,lời yêu cầu,request
ボス,ông chủ,boss
コー​​チ,Kochi,Kochi
不動産,địa ốc,real estate
セクター,Khu vực,Sector
卵,trứng,egg
杭,Đóng cọc,Pile
停止,Dừng lại,Stop
リング,nhẫn,ring
ショック,sốc,shock
貢献,sự đóng góp,contribution
発表,thông báo,announcement
たばこ,Thuốc lá,Cigarette
キッチン,phòng bếp,kitchen
領土,lãnh thổ,territory
コマンド,yêu cầu,command
島,hòn đảo,island
抗議,phản kháng,protest
印象,ấn tượng,impression
故障,sự cố,malfunction
海岸,Bờ biển,Coast
読書,đọc,reading
いろいろ,nhiều,various
収入,thu nhập,income
鐘,chuông,bell
コー​​ヒー,cà phê,coffee
アルコール,rượu bia,alcohol
ランチ,bữa trưa,lunch
期待,Kỳ vọng,Expectation
グレード,cấp,grade
ダイエット,ăn kiêng,diet
セクション,phần,section
耳,tai,ear
スカイ,Bầu trời,Sky
援助,hỗ trợ,assistance
信号,tín hiệu,signal
ストレス,nhấn mạnh,stress
代替案,Đề xuất thay thế,Alternative proposal
研究者,nhà nghiên cứu,researcher
ケーブル,cáp,cable
オープニング,khai mạc,opening
ビーチ,Bãi biển,Beach
ボランティア,tình nguyện viên,volunteer
負担,trọng tải,load
探偵,Thám tử,Detective
おもちゃ,Đồ chơi,toy
ゲイン,nhận được,gain
資産,tài sản,assets
プール,Hồ bơi,Pool
トレンド,xu hướng,trend
調査,cuộc điều tra,investigation
惑星,hành tinh,planet
川,dòng sông,river
アイデンティティ,danh tính,identity
海,Đại dương,Ocean
喜び,vui sướng,joy
遅延,trì hoãn,delay
クリニック,phòng khám,clinic
庭,vườn,garden
先端,Mẹo,Tip
離婚,ly hôn,divorce
太陽,Mặt trời,Sun
行,đường kẻ,line
フレーズ,Cụm từ,Phrase
価値がある,đáng giá,worth it
コレクション,bộ sưu tập,collection
時,Thời gian,Time
表面,bề mặt,surface
ネクタイ,cà vạt,tie
ミュージシャン,Nhạc sĩ,Musician
コンセプト,ý tưởng,concept
緊張,căng thẳng,tension
結果,kết quả,result
承認,Sự chấp thuận,Approval
仲間,đồng nghiệp,fellow
美しさ,sắc đẹp,beauty
死傷者,thương vong,casualties
コピー,sao chép,copy
地雷,Landmine,Landmine
ウォッチ,đồng hồ ,watch
睡眠,ngủ,sleep
平均,trung bình,average
旅行,chuyến đi,trip
詐欺,lừa đảo,scam
カテゴリ,loại,category
エクササイズ,bài tập,exercise
有罪判決,"Lòng tin chắc, sự kết án, phán quyết",Conviction
イニシアチブ,Sáng kiến,Initiative
テクニック,Kỹ thuật,Technique
記録,ghi ,record
視力,Tầm nhìn,Vision
削減,Sự giảm bớt,Reduction
全体,trọn,whole
株式会社,Ltd.,Ltd.
情熱,niềm đam mê,passion
葬儀,Tang lễ,Funeral
若者,Thiếu niên,Youth
楽器,dụng cụ,instrument
距離,khoảng cách,distance
砂漠,sa mạc,desert
記念日,dịp kỉ niệm,anniversary
書き込み,điền vào,write in
侵略,Cuộc xâm lăng,Invasion
妥協,thỏa hiệp,compromise
病気,bệnh,disease
涙,những giọt nước mắt,tears
ゲート,Cổng,Gate
森,gỗ,wood
実験,cuộc thí nghiệm,experiment
ゴルフ,golf,golf
才能,tài năng,talent
ポスト,bưu kiện,post
ギャップ,khoảng cách,gap
司祭,Thầy tu,Priest
小説,cuốn tiểu thuyết,novel
分裂,phân công,division
欲望,sự mong muốn,desire
帽子,Mũ,hat
住宅ローン,Cho vay nhà ở,Housing loan
評判,danh tiếng,reputation
スコア,Điểm,Score
肩,vai,shoulder
相対,liên quan đến,relative
コラム,cột,column
支払い,sự chi trả,payment
トランジション,Chuyển đổi,Transition
賞,phần thưởng,award
能力,khả năng,ability
定義,Sự định nghĩa,Definition
ポケット,túi,pocket
スピード,tốc độ,speed
コンサート,buổi hòa nhạc,concert
気候,khí hậu,climate
手掛かり,manh mối,clue
ビール,Bia ,Beer 
鼻,mũi,nose
グリーン,màu xanh lá,green
庭,vườn,garden
衛星,vệ tinh,satellite
式典,lễ,ceremony
人間,nhân loại,human
発見,phát hiện,discover
乗り,Cưỡi,Riding
ルート,nguồn gốc,root
お茶,trà,tea
運動,cử động,motion
パーセンテージ,Tỷ lệ phần trăm,percentage
組み合わせ,sự kết hợp,combination
説明,giải trình,explanation
スケール,tỉ lệ,scale
チェーン,xích,chain
ツイン,sinh đôi,twin
容量,dung tích,capacity
ディーラー,người buôn bán,dealer
タッチ,chạm,touch
旅,Hành trình,Journey
代理人,Đại lý,Agent
リンク,Liên kết,Link
プラスチック,nhựa,plastic
刺激,Kích thích,Stimulation
キャップ,mũ lưỡi trai,cap
ロール,cuộn,roll
建設,sự thi công,construction
意図,chủ đích,intention
紛争,Tranh luận,Dispute
気分,cảm giác,feeling
デザイン,thiết kế,design
子ども時代,Thời thơ ấu,Childhood
エンジン,động cơ,engine
一生,cả đời,lifetime
悪夢,Cơn ác mộng,nightmare
ダンス,nhảy,dance
食事,bữa ăn,meal
申し出,Lời đề nghị,Offer
義務,Nhiệm vụ,Duty
事前,nâng cao,advance
チャリティー,Tổ chức từ thiện,Charity
観光客,du khách,tourist
工場,thực vật,plant
脂肪,mập,fat
塩,muối,salt
首,cổ ,neck
ベッドルーム,Phòng ngủ,bedroom
エピソード,tập phim,episode
エンジニア,kỹ sư,engineer
罰,hình phạt,punishment
検査,Bài kiểm tra,test
インスタンス,ví dụ,instance
見通し,Quan điểm,Outlook
ショッピング,mua sắm,shopping
煙,Khói,smoke
肉,thịt,meat
ホールド,giữ,hold
退職,sự nghỉ hưu,retirement
インフレ,Lạm phát,Inflation
ドラマ,Kịch,Drama
デスク,bàn làm việc,desk
給与,Lương,Salary
バイブル,Kinh thánh,Bible
助成金,Trợ cấp,Subsidy
デモ,thử nghiệm,demo
対話,Hội thoại,Dialogue
物質,vật liệu,material
コア,cốt lõi,core
条約,Hiệp ước,Treaty
職員,Nhân viên,Staff
サンプル,vật mẫu,sample
戦術,Chiến thuật,tactics
方法,Phương pháp,Method
ノイズ,tiếng ồn,noise
客観,khách quan,objective
花,hoa,flower
カップ,tách,cup
温度,nhiệt độ,temperature
シンボル,biểu tượng,symbol
革命,cuộc cách mạng,revolution
味,nếm,taste
博物館,bảo tàng,museum
プロフィール,hồ sơ,profile
提案,gợi ý,suggestion
ルート,nguồn gốc,root
歯,răng,teeth
コンサルタント,tư vấn,consultant
ドライブ,lái xe,drive
障害,trở ngại,hindrance
砂糖,đường,sugar
上昇,tăng lên,rise
チップ,Chip,Chip
動機,Động lực,Motivation
シャツ,áo sơ mi,shirt
ポート,Hải cảng,port
潜在的な,Tiềm năng,Potential
スケジュール,lịch trình,schedule
議会,Nghị viện,Parliament
コンテスト,Cuộc thi,Contest
雰囲気,bầu không khí,atmosphere
ブランチ,chi nhánh,branch
見積もり,ước lượng,estimate
症状,Triệu chứng,Symptoms
関与,Sự tham gia,Involvement
差別,phân biệt,discrimination
天国,thiên đường,heaven
散歩,đi dạo,stroll
オペレータ,nhà điều hành,operator
推薦,Sự giới thiệu,Recommendation
反乱,Cuộc nổi loạn,Rebellion
ラウンド,tròn,round
メーカー,Tạo ra,Maker
ワイン,rượu ,wine
発言,bình luận,comment
混乱,lú lẫn,confusion
トーン,tấn,tone
抵抗,sức chống cự,resistance
重要性,Tầm quan trọng,Importance
例外,ngoại lệ,exception
プラットフォーム,nền tảng,platform
ナイフ,dao,knife
認知,Sự công nhận,Recognition
料金,giá ,price
マスター,Bậc thầy,Master
サークル,Vòng tròn,Circle
やり方,thái độ,manner
ジェット,Máy bay phản lực,jet
意味,nghĩa,meaning
アセスメント,đánh giá,assessment
プレート,đĩa,plate
費用,trị giá,cost
プロット,kịch bản,plot
教室,lớp học,classroom
ブランド,thương hiệu,brand
絵,hình ảnh,picture
屋根,mái nhà,roof
特権,Đặc quyền,Privilege
ドリンク,Uống,Drink
禁止,Lệnh cấm,Ban
コンテンツ,nội dung,content
化学物質,Chất hóa học,Chemical substance
フランス語,người Pháp,French
検査,Bài kiểm tra,test
インセンティブ,Khích lệ,Incentive
ピアノ,đàn piano,piano
ボトル,Cái chai,Bottle
廃棄物,rác thải,waste
エラー,lỗi,error
ラベル,nhãn,label
クロック,cái đồng hồ,clock
クリーム,kem,cream
良い,Tốt,good
相,giai đoạn,phase
哲学,triết lý,philosophy
行為,hoạt động,action
サイクル,xe đạp,cycle
電気,điện,electricity
司教,Giám mục,Bishop
リーダー,lãnh đạo,leader
妊娠,thai kỳ,pregnancy
リーグ,liên đoàn,league
ペット,Vật nuôi,Pets
財団,Sự thành lập,Foundation
ブーム,bùng nổ,boom
タワー,Tòa tháp,Tower
フィーチャー,Tính năng,Feature
撤退,Rút tiền,Withdrawal
息,hơi thở,breath
亀裂,nứt,crack
メーカー,Tạo ra,Maker
専門家,Chuyên gia,Expert
リファレンス,thẩm quyền giải quyết,reference
物語,câu chuyện,story
提供,Cung cấp,Providing
歴史家,Nhà sử học,Historian
ワイヤー,dây điện,wire
投機,Đầu cơ,Speculation
ペア,đôi,pair
言い訳,thứ lỗi,excuse
チョコレート,sô cô la,chocolate
祝賀会,Lễ ăn mừng,Celebration
チーズ,phô mai,cheese
フォーチュン,Forchun,Forchun
バスルーム,Phòng tắm,Bathroom
機能,chức năng,function
宇宙,Vũ trụ,universe
チャンネル,Kênh,Channel
笑顔,nụ cười,smile
ミルク,sữa,milk
要件,Yêu cầu,Requirements
疑惑,Sự nghi ngờ,Suspicion
世帯,Hộ gia đình,Household
認定,Chứng nhận,Certification
胸,ngực,chest
ルーチン,lịch trình,routine
検討,bài kiểm tra,examination
ライブラリ,Thư viện,Library
害,làm hại,harm
マージン,lề,margin
オブジェクト,sự vật,object
ギター,đàn ghi ta,guitar
ボタン,cái nút,button
沈黙,im lặng,silence
改善,Sự cải tiến,Improvement
ドロップ,làm rơi,drop
任命,Cuộc hẹn,Appointment
ビジネスマン,Doanh nhân,Businessman
流れ,chảy,flow
金属,kim loại,metal
ミラー,gương,mirror
現在,hiện tại,the current
キャリア,Sự nghiệp,Career
表現,Sự biểu lộ,Expression
運命,định mệnh,destiny
クラウド,Đám mây,Cloud
筋肉,cơ bắp,muscle
ベルト,thắt lưng,belt
章,chương,chapter
文字列,Sợi dây,String
取引,giao dịch,transaction
トリック,lừa,trick
ガイド,hướng dẫn,guide
ボリューム,âm lượng,volume
マッチ,Cuộc thi đấu,Match
ファンタジー,Tưởng tượng,Fantasy
膝,đầu gối,knees
化合物,Hợp chất,Compound
胃,cái bụng,stomach
高さ,chiều cao,height
ドラフト,bản nháp,draft
見知らぬ人,Người lạ,Stranger
感染,sự nhiễm trùng,infection
マス,Cá hồi,trout
規律,Kỷ luật,Discipline
フルーツ,trái cây,fruits
訪問者,Khách thăm quan,Visitor
詩,Thơ,Poetry
現象,hiện tượng,phenomenon
フェンス,hàng rào,fence
アプリケーション,ứng dụng,application
レシピ,công thức,recipe
衣類,quần áo,clothing
罪,tội,sin
生存,Sống sót,Survival
チャンピオン,quán quân,champion
ユニフォーム,đồng phục,uniform
印刷,in,printing
ポテト,khoai tây,potato
アレンジメント,sắp xếp,arrangement
月,Tháng,Month
クマ,con gấu,bear
傷,cào,scratch
安定性,Sự ổn định,Stability
プライド,Kiêu hãnh,Pride
制限,giới hạn,limit
合計,tổng cộng,total
バリア,rào chắn,barrier
いとこ,anh em họ,cousin
職業,Nghề nghiệp,Profession
銀,Bạc,Silver
ケーキ,bánh ngọt,cake
肺,phổi,lung
ホイール,bánh xe,wheel
オブザーバー,Người quan sát,observer
チューン,điều chỉnh,tune
説明,giải trình,explanation
設立,Thành lập,Establishment
室,Phòng,Room
ホラー,Kinh dị,Horror
バンキング,Ngân hàng,Banking
林檎,quả táo,apple
含意,Hàm ý,Implication
スチール,Thép,steel
喉,họng,throat
エッセンス,nước hoa,essence
襲撃,RAID,Raid
区別,Sự khác biệt,Distinction
ドイツ語,tiếng Đức,German
リップ,môi,lip
タイミング,thời gian,timing
洞察力,Cái nhìn thấu suốt,Insight
クーデター,đảo chính,coup d'état
シフト,sự thay đổi,shift
警官,Cảnh sát,Police officer
習慣,Thói quen,Habit
シート,Ghế,Seat
違反者,Người vi phạm,Violator
真夜中,nửa đêm,midnight
実行,chấp hành,execution
不安,sự lo lắng,anxiety
企業,Công ty,Company
ストリップ,dải,strip
ポップ,nhạc pop,pop
不思議,thắc mắc,wonder
影,Bóng tối,Shadow
リバティ,Tự do,Liberty
フィクション,viễn tưởng,fiction
介入,sự can thiệp,intervention
創造,Sự sáng tạo,Creation
マーケティング,tiếp thị,marketing
クリスチャン,Kitô giáo,Christian
ポット,nồi,pot
釣り,đánh bắt cá,fishing
朝食,bữa sáng,breakfast
チューブ,ống,tube
決定,Phán quyết,Decision
砂,cát,sand
パーミッション,sự cho phép,permission
ガイドライン,Hướng dẫn,Guideline
恥,nỗi tủi nhục,shame
暴動,Cuộc náo loạn,Riot
ユーザー,người dùng,user
オルガン,đàn organ,organ
リゾート,Khu nghỉ mát,Resort
デザイナー,nhà thiết kế,designer
比較,So sánh,Comparison
雇用,thuê người làm,employment
パン,bánh mỳ,bread
願い,Ước,Wish
恋人,người yêu,lover
ジャケット,Áo khoác,Jacket
パス,con đường,path
法律,pháp luật,law
ペース,nhịp độ,pace
フレーム,Ngọn lửa,flame
混乱,lú lẫn,confusion
保証,bảo đảm,guarantee
コミッショナー,Ủy viên,commissioner
炎,Ngọn lửa,flame
仮定,Giả thiết,Assumption
卒業,Tốt nghiệp,graduation
エントリー,lối vào,entry
病棟,phường,ward
勝利,chiến thắng,victory
オペラ,Opera,Opera
友情,tình bạn,friendship
暴露,phơi bày,exposure
豚,con lợn,pig
メイト,bạn,mate
神経,Thần kinh,Nerve
長さ,chiều dài,length
牛,Bò,Cow
パック,đóng gói,pack
命令,đặt hàng,order
崩壊,Sụp đổ,Collapse
アシスタント,trợ lý,assistant
異議,Sự phản đối,Objection
日記,Nhật ký,diary
学者,Học giả,Scholar
コンフォート,An ủi,Comfort
準備,Sự chuẩn bị,Preparation
県,Tận thức,prefecture
パッセージ,Đoạn văn,Passage
結晶,pha lê,crystal
ギア,bánh răng,gear
ストローク,đột quỵ,stroke
下落,Sự suy sụp,Decline
業績,hiệu suất,performance
存在,Sự tồn tại,Existence
提携,Quan hệ đối tác,Partnership
職業,Nghề nghiệp,Profession
配達,vận chuyển,delivery
出版社,nhà xuất bản,the publisher
同情,sự đồng cảm,sympathy
料理,nấu nướng,cooking
心配,sự lo lắng,anxiety
コンポーネント,thành phần,component
冒険,cuộc phiêu lưu,adventure
作物,sản xuất,produce
打撃,Thổi,Blow
酒,Rượu,Liquor
罪,tội,sin
年金,lương hưu,pension
ガレ​​ージ,Gales,Gales
放射線,sự bức xạ,radiation
ジュース,nước ép,juice
設定,cài đặt,setting
インデックス,mục lục,index
野菜,rau quả,vegetable
パートナーシップ,quan hệ đối tác,partnership
詩,Thơ,Poetry
認識,sự công nhận,recognition
自己,bản thân,self
スタンディング,Đứng,Standing
組織,Tổ chức,Organization
シェル,vỏ bọc,shell
キャプテン,đội trưởng,captain
墓,Phần mộ,Grave
ランク,Thứ hạng,Rank
性別,Tình dục,sex
不足,Thiếu,Shortage
賞,phần thưởng,award
コー​​ト,Trị giá,Cost
シード,hạt giống,seed
ラット,Con chuột,Rat
土壌,đất,soil
海岸,Bờ biển,Coast
敗北,đánh bại,defeat
予告,Để ý,Notice
ブーツ,bốt,boots
チャート,đồ thị,chart
省,Bộ,Ministry
ダイヤモンド,kim cương,diamond
フィニッシュ,hoàn thành,finish
入場,Nhận vào,Admission
暗い,tối tăm,dark
研究室,Phòng thí nghiệm,Lab
プロ,Chuyên nghiệp,Professional
褒賞,phần thưởng,reward
幼児,Trẻ sơ sinh,infant
テキスト,chữ,text
シャワー,vòi sen,shower
線量,liều lượng,dose
パニック,hoảng loạn,panic
ネット,Mạng lưới,Net
店員,nhân viên bán hàng,salesperson
鉱山労働者,Công nhân khai thác,Mining worker
代表団,Phái đoàn,Delegation
想像力,Trí tưởng tượng,Imagination
団結,Đoàn kết,Unity
叔父,Chú,Uncle
成分,thành phần,component
割り当て,phân bổ,allocation
通貨,tiền tệ,currency
バッテリー,ắc quy,battery
トンネル,đường hầm,tunnel
辞任,Sự từ chức,Resignation
バイヤー,Người mua,Buyer
バイク,xe đạp,bike
興奮,sự phấn khích,excitement
マウス,chuột,mouse
アラーム,báo thức,alarm
詩人,nhà thơ,poets
風景,Phong cảnh,Landscape
セレクション,lựa chọn,selection
叫び,Hét lên,Shouting
分離,Tách biệt,Separation
ディスプレイ,trưng bày,display
身体障害,Khuyết tật về thể chất,Physical disability
カウンター,quầy tính tiền,counter
チャンピオンシップ,Chức vô địch,Championship
バター,bơ,butter
肖像画,Chân dung,Portrait
スティック,dán,stick
エンジニアリング,kỹ thuật,engineering
神話,thần thoại,mythology
エッセイ,tiểu luận,essay
冷たい,lạnh lẽo,cold
石炭,than,coal
コントラスト,sự tương phản,contrast
観測,quan sát,observation
テール,Đuôi,Tail
メカニズム,cơ chế,mechanism
スキーム,cơ chế,scheme
プレゼンテーション,bài thuyết trình,presentation
天使,thiên thần,angel
ボーナス,Thưởng,Bonus
所持,Chiếm hữu,Possession
学習,học,study
教育,giáo dục,education
デッキ,boong,deck
生き物,Sinh vật,Creature
ランニング,đang chạy,running
文学,văn học,literature
弱点,Yếu đuối,Weakness
青,Màu xanh da trời,Blue
婚約,hôn ước,engagement
不確実性,Tính không chắc chắn,Uncertainty
お問い合わせ,cuộc điều tra,inquiry
モチベーション,động lực,motivation
ほこり,Bụi,Dust
ピーク,đỉnh cao,peak
本能,bản năng,instinct
針,cây kim,needle
葉,lá cây,leaf
打ち上げ,phóng,launch
笑い,Cười,Laughing
休暇,ngày lễ,holiday
草,cỏ,grass
鉄,sắt,iron
競合他社,Đối thủ cạnh tranh,Competitors
複雑な,Tổ hợp,Complex
豆,Đậu,beans
ポール,Cây sào,Pole
容器,thùng đựng hàng,container
補助金,Trợ cấp,Subsidy
入札,đấu thầu,bid
着陸,đổ bộ,landing
パイプ,đường ống,pipe
解釈,diễn dịch,interpretation
トーナメント,Giải đấu,tournament
ヒップ,Hông,Hip
診断,chẩn đoán,diagnose
ピッチ,sân bóng đá,pitch
ジャーナル,Tạp chí,journal
天井,trần nhà,ceiling
輸出,xuất khẩu,export
認知度,Sự công nhận,Recognition
クロス,đi qua,cross
キス,hôn,kiss
検査,Bài kiểm tra,test
帝国,Đế chế,Empire
交換,trao đổi,exchange
アヒル,con vịt,duck
式,công thức,formula
悪魔,ác quỷ,devil
制限,giới hạn,limit
補償,đền bù,compensation
招待状,Lời mời,Invitation
宣言,tuyên ngôn,declaration
意義,ý nghĩa,significance
最後の,Cuối cùng,Last
プレミアム,phần thưởng,premium
救急車,xe cứu thương,ambulance
カーペット,thảm,carpet
寺,ngôi đền,temple
成分,thành phần,component
譲歩,Nhượng bộ,Concession
同意,Bằng lòng,Consent
前提,Điều kiện tiên quyết,Prerequisite
遺産,di sản,heritage
棚,cái kệ,shelf
ヒント,Gợi ý,Hint
リズム,nhịp,rhythm
負債,Nợ phải trả,liabilities
ヒール,Gót chân,Heel
層,lớp,layer
歪み,méo mó,distortion
カーボン,carbon,carbon
フォーラム,diễn đàn,forum
メリット,công lao,merit
若者,Thiếu niên,Youth
転送,gửi đi,send on
配布,phân bổ,distribution
拡大,sự bành trướng,expansion
深さ,chiều sâu,depth
毛布,cái chăn,blanket
王国,Vương quốc,Kingdom
泥,bùn,mud
到着,đến,arrival
反射,Sự phản xạ,Reflection
封筒,phong bì,envelope
リザーブ,Dự trữ,Reserve
狩猟,săn bắn,hunting
家具,nội thất,furniture
ジェスチャー,cử chỉ,gesture
住宅,Nơi cư trú,Residence
野望,tham vọng ,ambition
ネイル,móng tay,nail
スペクトル,Quang phổ,Spectrum
描画,vẽ,drawing
熱意,sự nhiệt tình,enthusiasm
ペン,cái bút,pen
好み,Sự ưa thích,Preference
不在,vắng mặt,absence
酸素,ôxy,oxygen
分隊,Đội hình,squad
汚染,sự ô nhiễm,pollution
ロック,đá,rock